model,component,epoch,start_epoch_time,end_epoch_time,train_loss,val_loss
20250703155657_t1_linear_regression.pt,main,2,2025-07-03 15:56:57,2025-07-03 15:56:57,0.35045507550239563,0.5202375650405884
20250703155657_t1_linear_regression.pt,main,3,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3398803770542145,0.502760648727417
20250703155657_t1_linear_regression.pt,main,4,2025-07-03 15:56:57,2025-07-03 15:56:57,0.32910601581845966,0.4846031963825226
20250703155657_t1_linear_regression.pt,main,5,2025-07-03 15:56:57,2025-07-03 15:56:57,0.318125456571579,0.46579912304878235
20250703155657_t1_lstm.pt,main,1,2025-07-03 15:56:57,2025-07-03 15:56:57,0.5247107403618949,0.7609585523605347
20250703155657_t1_lstm.pt,main,2,2025-07-03 15:56:57,2025-07-03 15:56:57,0.5239425812448774,0.7594563961029053
20250703155657_t1_lstm.pt,main,3,2025-07-03 15:56:57,2025-07-03 15:56:57,0.5220461232321603,0.7579619288444519
20250703155657_t1_lstm.pt,main,4,2025-07-03 15:56:57,2025-07-03 15:56:57,0.5195093410355704,0.7564692497253418
20250703155657_t1_lstm.pt,main,5,2025-07-03 15:56:57,2025-07-03 15:56:57,0.5154530916895185,0.7549812197685242
20250703155657_t1_linear_regression.pt,main,1,2025-07-03 15:56:57,2025-07-03 15:56:57,0.32403841614723206,0.1389046013355255
20250703155657_t1_linear_regression.pt,main,2,2025-07-03 15:56:57,2025-07-03 15:56:57,0.32366859912872314,0.13886113464832306
20250703155657_t1_linear_regression.pt,main,3,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3234087824821472,0.1388256698846817
20250703155657_t1_linear_regression.pt,main,4,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3231964111328125,0.13879525661468506
20250703155657_t1_linear_regression.pt,main,5,2025-07-03 15:56:57,2025-07-03 15:56:57,0.3230125904083252,0.1387685090303421
20250703155657_t1_lstm.pt,main,1,2025-07-03 15:56:58,2025-07-03 15:56:58,0.2715332218118616,0.09759049117565155
20250703155657_t1_lstm.pt,main,2,2025-07-03 15:56:58,2025-07-03 15:56:58,0.268427853648727,0.09714361280202866
20250703155657_t1_lstm.pt,main,3,2025-07-03 15:56:58,2025-07-03 15:56:58,0.2678420869885264,0.09668822586536407
20250703155657_t1_lstm.pt,main,4,2025-07-03 15:56:58,2025-07-03 15:56:58,0.26696261320565196,0.09621473401784897
20250703155657_t1_lstm.pt,main,5,2025-07-03 15:56:58,2025-07-03 15:56:58,0.26559200802364863,0.09573517739772797
20250703155658_t1_linear_regression.pt,main,1,2025-07-03 15:56:58,2025-07-03 15:56:58,0.5874143242835999,0.6408124566078186
